timestamp_s,can_id_hex,dlc,data_hex,is_extended,is_remote
54.206173,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.210167,0C00000B,8,30 FF FF FA FF FF FF 36,1,0
54.210747,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
54.212202,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
54.214230,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
54.216181,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
54.216750,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.218215,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
54.226182,18FDC40B,8,DF FB FF FF FF FF FF FF,1,0
54.226750,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.235221,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.236175,0C00290B,8,30 FF FF 7D FF FF FF 33,1,0
54.246221,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.256274,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.262208,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
54.266223,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.267221,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
54.276275,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.277217,18FEF100,8,FB 00 00 FA AA 00 1F FF,1,0
54.286223,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.287218,18F00029,8,20 7D 7D F3 00 7D FE 5E,1,0
54.295224,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.296294,1CFEC300,8,FF FB FF FF FF FF FF FF,1,0
54.306221,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.310174,0C00000B,8,30 FF FF FA FF FF FF 47,1,0
54.310754,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
54.312203,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
54.314231,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
54.316176,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
54.316747,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.318216,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
54.326183,18FDC40B,8,DF FB FF FF FF FF FF FF,1,0
54.326752,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.335223,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.346223,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.356275,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
54.362209,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
54.366224,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
