timestamp_s,can_id_hex,dlc,data_hex,is_extended,is_remote
23.073313,18DAF90B,8,2D FF FF FF FF FF FF FF,1,0
23.073992,18DA0BF9,8,03 22 F1 92 EE AE B2 4F,1,0
23.074568,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
23.075104,18DAF90B,8,10 08 62 F1 92 44 61 35,1,0
23.075752,18DA0BF9,8,30 20 00 F1 92 44 61 35,1,0
23.076396,18DAF90B,8,21 20 30 FF FF FF FF FF,1,0
23.077087,18DA0BF9,8,03 22 F1 95 EE AE B2 4F,1,0
23.077849,18DAF90B,8,10 22 62 F1 95 6D 64 30,1,0
23.078497,18DA0BF9,8,30 20 00 F1 95 6D 64 30,1,0
23.079085,18DAF90B,8,21 30 30 38 32 5F 2E 68,1,0
23.079657,0C00000B,8,30 FF FF FA FF FF FF 30,1,0
23.080218,18DAF90B,8,22 65 78 20 20 20 20 20,1,0
23.080798,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
23.081363,18DAF90B,8,23 20 20 20 20 20 20 20,1,0
23.081951,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
23.082523,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.083087,18DAF90B,8,24 20 20 20 20 20 20 20,1,0
23.083651,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
23.084186,18DA0BF9,8,03 22 F1 8C EE AE B2 4F,1,0
23.084771,18FEF500,8,C7 FF FF FF FF FF FF FF,1,0
23.085319,18DAF90B,8,10 09 62 F1 8C 00 13 92,1,0
23.085896,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
23.086455,18DA0BF9,8,30 20 00 F1 8C 00 13 92,1,0
23.087064,18DAF90B,8,21 06 38 21 FF FF FF FF,1,0
23.087768,18DA0BF9,8,03 22 F1 91 EE AE B2 4F,1,0
23.088728,18DAF90B,8,10 0A 62 F1 91 31 39 38,1,0
23.089372,18DA0BF9,8,30 20 00 F1 91 31 39 38,1,0
23.089968,18DAF90B,8,21 30 37 30 30 FF FF FF,1,0
23.090657,18DA0BF9,8,01 20 F0 02 20 F9 0B DA,1,0
23.092161,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.092725,18DAF90B,8,03 7F 20 11 FF FF FF FF,1,0
23.093309,18FEBD00,8,FF FF 00 00 FF FF FF FF,1,0
23.093869,18DA0BF9,8,01 82 F0 02 20 F9 0B DA,1,0
23.094509,18DAF90B,8,03 7F 82 11 FF FF FF FF,1,0
23.095277,18FDC40B,8,DF FB FF FF FF FF FF FF,1,0
23.102108,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.105259,0C00290B,8,30 FF FF 7D FF FF FF 44,1,0
23.112169,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.122102,1CECFF29,8,20 13 00 03 FF E1 FE 00,1,0
23.123108,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.124160,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
23.131258,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
23.132171,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.133106,18FEF100,8,FB 00 00 FA AA 00 1F FF,1,0
23.142060,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.143051,18F00029,8,20 7D 7D F3 00 7D FE 5E,1,0
23.152113,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.153077,1CFEC300,8,FF FB FF FF FF FF FF FF,1,0
23.162070,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.172118,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.173062,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
23.179199,0C00000B,8,30 FF FF FA FF FF FF 41,1,0
23.179776,18F0090B,8,FF FF FF FF FF FF FF FF,1,0
23.181206,18FEBF0B,8,FF FF FF FF FF FF FF FF,1,0
23.182047,1CEBFF29,8,01 FF 0F C0 12 5E E0 47,1,0
23.183051,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.183616,18F0010B,8,CF FE CF FF FF 04 FF 3F,1,0
23.185215,18FE4F0B,8,C1 00 FF FF FF FF FF FF,1,0
23.192116,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.195211,18FDC40B,8,DF FB FF FF FF FF FF FF,1,0
23.202062,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.212116,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.222064,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
23.223053,0CF00300,8,FA FE 00 FF FF 0C 00 FF,1,0
23.231063,0CF00400,8,00 7D 7D 00 00 00 F7 7D,1,0
